Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Water Scarcity Level,Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
China,2016,713.04,310.16,High,38.61,30.67,14.26,2777.86,4.55
Spain,2009,216.75,73.66,Medium,21.61,12.16,15.04,1179.1,3.7
USA,2020,313.71,164.89,High,58.7,12.0,27.31,1402.62,4.45
Japan,2017,480.48,337.26,Low,68.33,10.19,16.78,803.78,0.27
Mexico,2006,454.86,436.63,High,76.78,26.43,23.78,298.09,0.59
Canada,2002,711.49,462.64,High,61.19,26.61,26.59,2112.39,3.71
China,2012,627.2,275.19,High,63.93,32.78,18.23,2420.15,3.79
Germany,2014,647.95,295.46,Medium,73.73,26.73,20.31,2652.3,3.07
Japan,2019,716.91,424.87,High,76.18,48.79,16.31,2812.33,3.68
Saudi Arabia,2018,299.69,291.93,High,49.48,18.11,23.81,2756.29,4.3
Saudi Arabia,2002,329.11,282.59,High,26.59,44.32,39.77,179.41,2.77
South Africa,2003,443.62,457.29,Low,47.99,9.51,20.88,2936.48,4.74
Spain,2004,314.39,405.47,Medium,53.36,32.09,29.6,1200.56,3.5
Indonesia,2000,985.09,459.08,Medium,57.89,34.17,29.08,2669.71,2.41
USA,2003,815.91,148.21,Medium,79.36,39.75,33.59,1378.2,2.17
India,2011,173.01,285.97,Low,75.05,27.64,31.36,1324.35,3.78
UK,2023,15.54,429.11,High,43.78,13.88,10.35,132.45,3.19
Mexico,2009,52.36,100.02,Low,26.81,21.6,19.28,252.08,4.11
Brazil,2022,251.62,407.6,Medium,32.89,17.25,36.11,2046.71,3.93
Turkey,2024,123.15,132.34,Medium,30.43,23.86,26.19,2819.16,2.67
Indonesia,2020,538.0,413.65,Medium,41.36,28.85,13.13,750.76,4.73
Canada,2019,859.42,325.4,Low,72.59,33.13,18.28,372.37,3.55
Turkey,2023,739.38,136.96,Medium,46.28,43.03,18.5,720.19,1.08
India,2024,223.45,263.01,High,54.04,45.95,36.2,715.73,3.13
Australia,2012,405.31,356.86,Low,30.75,25.82,26.6,950.09,1.09
Argentina,2022,512.82,335.23,High,49.57,8.99,28.25,374.76,2.84
Russia,2013,812.1,242.26,Medium,72.42,40.87,21.01,783.03,3.97
Indonesia,2022,840.73,454.71,Medium,66.41,26.47,11.81,2771.7,4.08
USA,2004,910.62,283.67,Low,24.87,29.59,12.26,2681.64,3.29
France,2003,514.15,277.64,High,71.72,31.81,22.61,1017.28,3.94
Argentina,2013,697.33,78.01,Low,36.43,35.05,15.32,2990.99,2.41
Germany,2009,120.68,464.95,High,59.94,45.05,13.13,965.22,2.8
Russia,2016,569.64,129.7,Medium,28.78,47.85,17.87,2193.31,4.41
South Korea,2009,256.2,287.76,Low,60.48,47.31,32.26,1967.63,2.52
Indonesia,2006,437.4,411.61,Low,22.14,41.43,12.19,287.21,1.82
India,2015,637.71,146.95,High,56.04,45.02,23.45,1092.66,4.01
Indonesia,2000,264.42,287.32,Medium,58.76,7.23,34.78,2859.35,0.35
Germany,2016,61.66,158.31,Medium,34.67,43.21,18.04,247.51,4.8
Italy,2020,20.13,391.86,High,76.22,8.25,19.06,607.16,1.77
Spain,2008,31.94,303.95,High,22.76,38.58,36.53,2915.74,3.19
Germany,2005,18.27,435.19,High,73.5,12.62,29.5,215.4,3.46
India,2018,119.25,452.55,High,42.91,21.2,33.93,1395.16,0.77
Canada,2012,247.09,341.93,High,62.83,13.29,18.68,2763.22,4.13
Canada,2002,229.01,376.43,Medium,59.09,24.96,39.9,2836.67,2.9
Russia,2006,986.93,297.15,Medium,30.09,23.53,14.23,2940.03,1.71
China,2021,312.95,222.99,Low,39.14,7.16,38.86,1495.83,4.27
Saudi Arabia,2008,136.15,341.65,Medium,51.78,42.37,37.06,350.79,3.16
Canada,2021,550.11,458.73,High,70.79,43.44,26.56,2340.84,3.95
South Africa,2004,859.38,237.51,Medium,77.29,40.44,27.56,2156.05,4.96
South Korea,2009,681.28,191.48,Medium,21.24,43.14,33.25,1780.88,0.74
Spain,2022,303.12,224.8,Medium,41.15,38.79,19.2,2675.88,3.77
Argentina,2016,566.0,245.93,Low,60.09,47.19,25.82,2743.55,3.81
UK,2011,717.71,83.1,Low,51.66,30.94,37.07,2081.41,4.39
Brazil,2022,730.82,274.3,High,76.58,31.22,12.05,425.09,2.1
USA,2015,669.87,272.44,High,21.02,43.7,37.17,377.02,4.36
Turkey,2002,872.1,314.8,Low,46.26,20.72,31.86,1285.03,3.24
South Korea,2024,871.4,213.27,Medium,60.13,7.25,33.1,948.83,0.44
Canada,2021,583.15,325.9,Medium,33.06,38.74,11.94,485.65,0.25
South Africa,2008,435.56,445.2,Low,63.55,16.46,15.63,1872.45,2.46
Japan,2014,645.15,479.96,High,24.87,26.34,37.76,2082.24,3.95
South Africa,2004,820.03,312.63,Medium,47.06,15.82,13.72,2124.11,1.98
Indonesia,2022,15.6,69.17,High,60.57,42.22,28.94,608.3,4.27
France,2012,992.08,486.16,Medium,36.01,48.12,33.48,986.95,2.51
Italy,2013,191.06,367.64,High,24.43,7.48,16.94,677.25,0.23
Mexico,2019,475.55,201.18,Medium,77.42,15.5,30.96,1843.87,4.87
Brazil,2014,873.31,116.22,High,74.83,13.53,11.97,1744.54,2.5
USA,2015,232.79,114.54,High,75.58,35.29,24.96,1559.61,3.29
Brazil,2022,482.03,125.48,High,78.71,24.29,20.03,958.56,1.08
South Korea,2012,141.26,70.51,Low,31.08,25.53,29.37,787.45,1.56
Canada,2016,401.13,455.97,High,29.47,12.07,36.67,2682.18,2.47
Australia,2022,185.36,293.35,Low,22.05,23.66,13.76,241.68,4.3
Brazil,2007,369.99,364.98,Low,73.51,18.65,23.51,2003.56,0.6
Spain,2020,379.73,422.65,High,65.17,32.5,22.7,156.77,3.92
Canada,2001,993.24,406.19,Low,58.0,14.78,19.71,662.13,2.94
South Africa,2004,994.86,447.17,Low,75.66,32.67,24.41,939.5,2.55
Italy,2005,123.64,485.26,Low,54.5,22.0,36.42,2670.81,4.4
France,2011,728.71,247.58,Medium,27.78,20.58,39.21,499.43,0.68
Italy,2017,61.23,477.65,High,30.61,18.75,10.09,2819.64,4.95
Turkey,2021,39.89,375.48,Low,27.93,35.32,32.17,2464.82,4.29
Italy,2021,114.28,81.8,High,38.46,30.31,28.45,2069.23,1.7
Saudi Arabia,2000,965.83,356.8,Low,42.77,43.33,39.84,1294.06,2.31
Germany,2016,941.45,359.02,High,67.81,15.87,12.7,2725.24,0.22
Spain,2010,201.99,457.64,Low,31.48,6.81,34.34,1631.07,2.69
Italy,2009,170.06,217.82,Medium,63.52,13.19,38.02,1176.5,2.78
France,2018,248.13,313.21,Medium,49.47,20.45,37.36,1798.31,4.64
Canada,2013,520.39,55.48,Medium,79.98,13.08,26.82,773.58,2.0
Turkey,2009,574.01,199.43,Low,66.59,8.76,19.83,891.35,2.9
India,2014,229.38,78.01,High,78.14,25.04,29.2,2766.01,3.73
Spain,2018,759.06,284.84,Low,40.54,35.46,19.18,2402.39,3.08
Argentina,2003,316.46,417.85,Medium,27.38,38.82,22.37,1589.15,0.87
Mexico,2001,922.91,142.9,Low,50.35,22.94,23.37,1308.05,0.94
USA,2008,660.16,287.35,High,27.45,26.51,19.06,2441.95,0.78
Argentina,2009,441.99,141.8,Medium,49.55,39.0,20.25,1754.85,1.17
Japan,2010,792.01,104.31,Low,36.2,20.87,10.22,1303.6,1.71
Germany,2013,819.74,279.95,High,49.46,40.31,18.91,1594.8,3.72
Germany,2006,297.58,85.62,Medium,76.98,48.53,24.17,774.86,0.4
Canada,2022,346.32,314.31,High,37.34,44.62,15.19,685.71,4.12
India,2014,936.6,64.1,High,79.61,25.41,34.17,2968.36,1.39
South Korea,2021,173.09,98.02,Medium,33.76,31.08,26.13,2911.82,3.11
Canada,2018,51.73,297.5,Low,32.49,37.24,33.82,1320.4,2.81
Turkey,2021,459.51,316.13,Low,52.69,20.72,13.84,1594.26,0.85
Saudi Arabia,2014,803.2,63.04,Low,70.52,40.97,34.62,2498.86,1.51
USA,2023,773.95,308.02,Low,64.97,24.66,38.75,2204.92,1.55
China,2007,920.34,427.33,High,63.41,43.11,20.57,388.69,3.16
Mexico,2010,537.87,375.04,Low,36.96,16.46,18.52,1186.37,3.96
Mexico,2008,109.06,109.03,Low,21.35,5.51,29.4,825.44,4.98
USA,2014,592.8,316.61,High,29.7,33.47,29.08,2978.63,0.57
Saudi Arabia,2000,780.61,352.51,High,40.97,25.34,13.37,2271.23,4.7
Indonesia,2000,102.39,66.75,Medium,78.3,7.69,37.8,238.52,2.85
Indonesia,2018,180.93,434.91,High,75.19,26.94,24.37,2710.11,1.85
Italy,2002,22.17,457.82,Medium,32.04,12.59,32.93,2791.08,1.49
Saudi Arabia,2009,597.72,432.7,Medium,63.54,33.34,20.78,1066.48,1.12
Mexico,2007,887.87,421.08,Low,54.74,25.03,17.85,1961.74,2.83
Indonesia,2014,673.96,385.23,Low,22.99,12.7,13.34,2077.91,4.74
Indonesia,2009,982.22,335.04,Low,42.3,23.54,18.24,2215.69,0.99
South Korea,2000,72.4,355.38,High,49.16,15.47,39.8,2111.17,2.24
Japan,2017,903.97,412.88,High,60.05,34.39,29.74,1723.18,1.1
China,2001,815.93,348.12,Low,37.69,18.28,34.08,2866.15,0.96
China,2018,321.1,197.48,Low,76.03,41.99,38.76,1585.89,4.35
Australia,2012,973.79,219.18,High,47.11,5.64,12.37,421.65,1.38
India,2021,295.06,453.68,Medium,34.91,23.15,14.94,333.23,1.32
Argentina,2000,890.41,57.7,Medium,38.99,32.77,37.84,153.29,4.56
Japan,2001,881.94,364.47,Low,65.11,6.02,26.94,1340.98,1.99
Brazil,2015,760.08,479.65,Low,58.42,14.71,29.05,892.39,0.14
Mexico,2014,567.84,367.8,Low,64.53,19.73,22.83,2696.13,3.63
Australia,2012,128.8,497.26,Medium,37.54,5.98,34.43,2614.73,2.63
USA,2015,536.65,359.4,Low,39.61,29.6,25.52,2529.74,3.89
Brazil,2016,363.23,65.46,Medium,43.8,33.39,34.78,2615.11,2.89
USA,2020,794.29,422.15,High,31.32,15.24,39.77,963.06,1.82
Argentina,2006,760.55,178.08,High,61.46,29.46,29.4,1335.74,0.43
Argentina,2023,911.51,250.73,High,39.76,49.96,25.86,1004.04,4.34
Russia,2016,24.68,190.44,Low,39.57,44.91,20.95,349.64,1.11
Spain,2006,811.01,170.85,High,36.16,7.64,15.84,2779.73,4.86
Indonesia,2012,939.08,244.13,Medium,47.17,10.75,29.7,1886.19,1.3
South Africa,2004,791.41,220.44,Medium,66.32,27.25,11.88,484.4,4.15
China,2016,138.89,335.0,Medium,70.14,16.03,38.69,697.57,3.96
South Korea,2002,90.47,415.92,Low,68.27,8.64,29.43,1407.18,2.37
South Africa,2006,30.64,183.69,Low,57.27,16.45,38.78,250.49,2.07
France,2016,632.46,146.17,Medium,36.83,7.75,18.17,888.78,3.55
Indonesia,2006,633.38,350.1,Medium,64.09,28.85,38.4,2139.99,2.69
Australia,2020,987.04,351.64,Medium,22.36,27.06,28.36,2769.18,3.2
Canada,2000,404.06,455.51,Medium,67.89,5.28,34.31,2793.32,2.4
Canada,2016,338.59,57.18,High,66.81,26.71,15.37,1608.08,2.83
Spain,2016,628.18,433.87,Medium,60.2,28.39,25.0,1005.25,1.03
USA,2010,827.35,284.45,Low,25.88,32.26,27.07,2770.16,0.37
Argentina,2024,937.41,329.59,Low,79.84,48.65,21.79,2381.24,1.84
Italy,2002,805.09,91.12,Low,65.38,49.22,17.6,1802.62,2.38
Australia,2014,432.41,244.68,Low,64.09,28.71,37.14,2520.2,4.54
Germany,2020,638.57,152.29,Low,23.84,43.03,12.55,1430.61,2.13
Turkey,2010,857.74,164.4,Medium,43.92,8.83,14.62,425.37,2.23
Indonesia,2015,495.7,276.84,Medium,25.17,28.9,19.62,2820.89,3.41
UK,2024,224.52,415.61,High,41.66,35.55,37.59,1648.62,1.11
Russia,2021,178.03,384.7,High,54.23,30.41,26.93,2116.34,4.37
Argentina,2008,10.16,315.95,High,72.73,15.38,21.2,1237.65,2.2
UK,2023,721.06,292.74,Medium,36.98,7.82,22.08,493.65,4.66
Japan,2023,119.99,242.29,High,57.4,22.4,35.13,888.46,1.43
Italy,2000,251.4,487.72,Medium,29.88,34.14,10.8,226.65,2.38
Mexico,2024,304.9,302.09,Low,41.24,49.63,10.34,353.98,3.91
Italy,2021,564.78,164.28,Medium,76.83,15.64,11.38,694.27,2.82
Australia,2015,403.98,153.54,Medium,64.86,46.3,24.08,1726.93,3.34
Spain,2008,677.93,325.11,Low,52.75,8.07,27.44,2979.37,1.48
Indonesia,2018,65.08,285.27,Low,35.1,46.89,28.73,2546.8,1.71
Russia,2011,132.7,53.46,Low,42.78,42.46,31.93,349.01,2.59
Canada,2018,504.22,423.53,High,29.4,5.94,15.69,2542.8,1.09
Australia,2021,343.6,366.86,High,41.21,18.42,17.87,1655.3,0.72
Australia,2008,302.86,347.82,High,29.04,7.29,17.31,2014.94,4.23
Saudi Arabia,2006,76.36,80.95,Low,67.72,49.8,14.48,476.32,3.9
Russia,2013,896.76,212.93,High,24.85,24.25,17.33,1246.78,4.67
Germany,2018,694.9,470.92,Low,31.36,34.8,28.41,2663.95,2.97
India,2018,130.4,438.17,Low,61.47,15.54,20.99,1333.56,2.16
Turkey,2001,74.4,178.49,Low,74.15,47.02,33.04,468.63,0.6
France,2008,975.12,120.68,High,77.88,17.34,26.09,1002.12,4.27
Indonesia,2012,684.36,252.09,High,70.16,16.71,16.36,742.41,2.34
Spain,2014,423.28,210.12,Low,32.69,19.16,24.02,2092.0,2.85
Germany,2002,704.71,357.0,High,37.14,25.81,27.8,2741.98,1.64
Italy,2010,758.77,484.9,Medium,72.25,5.83,35.99,2227.12,2.67
Brazil,2020,782.16,213.35,High,73.36,31.9,35.01,2546.5,3.93
Indonesia,2013,483.1,78.0,Low,58.44,6.42,22.79,2436.87,3.59
Canada,2024,435.58,453.93,Low,38.82,29.26,29.43,142.35,4.95
Russia,2007,20.92,67.08,Low,33.44,25.6,18.93,460.67,2.53
Australia,2017,927.29,478.74,Medium,71.14,15.91,28.99,1327.8,2.7
South Africa,2018,607.27,349.06,Low,32.32,19.84,37.38,425.06,0.36
Japan,2015,211.12,473.76,Low,59.71,36.75,28.74,2231.31,2.01
Italy,2001,920.41,139.85,High,78.08,5.43,19.11,303.54,4.62
South Korea,2007,915.78,68.31,Medium,62.32,19.25,29.32,1307.1,1.82
USA,2021,989.29,269.69,High,35.46,35.61,37.08,1237.64,3.85
Saudi Arabia,2005,875.32,252.78,Low,36.95,11.85,14.11,1675.99,4.89
Argentina,2011,997.81,199.17,Low,25.57,30.22,24.47,1925.19,0.72
Turkey,2014,252.24,480.95,Medium,61.17,12.6,19.63,2846.17,1.74
France,2024,843.83,420.16,Low,51.11,11.96,17.24,886.44,2.42
Turkey,2007,824.8,347.71,Medium,32.39,39.75,21.89,2031.36,1.26
Russia,2003,238.63,123.29,High,33.66,16.99,21.82,201.75,0.16
Turkey,2014,107.45,380.45,Medium,20.54,21.91,16.31,102.92,2.4
Japan,2019,979.63,377.16,High,78.71,37.85,22.11,173.54,2.73
UK,2024,303.06,241.28,Low,69.68,13.08,29.01,1401.84,3.16
Russia,2016,872.18,466.15,High,43.65,28.93,10.77,1709.54,4.15
Australia,2012,14.09,125.14,High,76.77,46.3,39.68,118.01,1.34
France,2017,30.81,170.3,High,60.63,29.92,18.88,1249.59,0.4
South Africa,2001,471.21,78.45,Medium,65.09,7.2,28.71,218.48,0.54
Canada,2012,246.33,407.95,High,60.8,31.54,18.51,1994.52,2.54
Russia,2012,692.94,329.79,Medium,65.41,9.06,21.81,1930.57,4.62
Canada,2021,569.91,191.72,Medium,30.26,17.7,26.48,2374.13,4.91
South Africa,2014,86.71,123.72,Medium,53.74,43.24,28.36,1684.16,1.1
India,2019,171.0,68.07,Low,70.96,5.5,33.11,1906.55,0.84
India,2009,394.17,125.04,Low,21.17,8.47,33.75,910.32,1.83
USA,2002,193.75,253.98,Low,27.41,21.35,25.56,347.82,2.37
Spain,2018,794.3,161.23,Medium,34.74,49.97,12.27,2238.19,4.06
China,2002,421.91,166.54,Low,37.68,18.13,26.73,1874.4,3.9
India,2021,102.5,444.01,High,30.96,12.08,24.33,2821.16,4.62
Indonesia,2013,489.5,281.81,Medium,57.46,29.72,16.46,2968.75,4.3
UK,2007,99.93,378.16,Low,37.64,28.37,10.3,2557.12,2.25
South Africa,2022,137.65,66.07,Medium,29.49,25.23,19.48,2958.3,0.19
USA,2003,247.21,214.32,Low,74.35,47.6,17.78,1977.59,1.26
Spain,2019,860.93,265.63,High,61.7,17.61,24.49,366.65,3.09
South Korea,2010,925.37,133.89,Medium,34.76,18.2,32.85,360.51,2.56
USA,2010,828.0,104.09,Low,41.66,11.31,23.17,2440.65,1.28
China,2010,340.74,441.64,Low,64.45,36.38,38.55,786.9,0.74
Indonesia,2001,279.72,472.74,High,67.45,19.46,16.64,276.87,1.16
Mexico,2016,553.66,85.46,High,30.59,41.12,16.63,1469.6,1.37
South Korea,2008,724.63,207.06,Low,76.19,48.73,28.13,1012.47,4.35
France,2001,993.44,481.23,Low,67.12,6.97,36.89,1805.63,3.58
Indonesia,2023,140.26,87.42,Medium,71.41,49.69,30.16,1840.44,2.81
UK,2014,58.8,339.64,Medium,28.63,16.43,30.21,2076.35,0.2
Spain,2015,697.41,487.5,Low,28.6,23.9,34.19,1771.68,4.12
Canada,2024,833.9,490.2,High,38.32,40.0,30.06,1204.66,2.81
Germany,2003,847.89,262.05,Medium,23.88,34.94,32.78,168.63,3.17
Spain,2007,681.68,123.24,Low,25.46,40.03,35.98,2724.76,0.42
China,2008,954.48,140.94,High,28.59,25.98,10.24,1048.07,4.09
UK,2004,515.89,450.32,High,62.75,46.22,36.57,1570.74,4.18
Turkey,2015,914.68,460.26,Low,21.81,40.55,16.46,1715.12,4.43
South Korea,2012,968.13,323.55,Low,24.99,18.92,37.36,1013.07,2.69
Canada,2006,848.69,394.78,Medium,76.65,47.68,17.99,994.59,2.03
UK,2019,316.66,382.97,Low,25.02,48.25,23.66,856.5,0.46
Mexico,2016,204.25,347.82,Medium,52.25,23.68,38.02,805.72,1.05
South Africa,2002,552.64,422.27,High,58.55,34.34,13.29,188.15,1.21
France,2004,458.48,358.43,Medium,77.52,41.66,32.36,2877.95,0.41
Italy,2018,878.98,290.3,Low,73.99,41.78,21.77,1826.36,0.86
South Korea,2011,109.03,156.63,Medium,46.44,5.64,10.72,413.39,4.45
South Korea,2006,265.16,384.75,High,76.53,33.31,38.17,1816.68,2.77
South Korea,2008,754.28,263.05,High,45.94,48.82,13.53,773.52,3.85
South Africa,2005,104.04,182.66,Low,60.2,15.41,33.22,1000.98,1.45
Mexico,2016,327.56,410.88,Medium,35.58,40.8,21.53,2423.39,0.76
Turkey,2015,393.28,363.52,Low,58.2,29.04,34.32,2668.83,1.93
Italy,2022,626.37,471.8,Low,52.29,14.97,32.51,2129.49,3.99
Brazil,2002,166.55,124.45,High,56.41,7.3,29.0,2804.49,1.56
Australia,2020,862.0,342.14,Medium,60.96,39.2,38.18,2724.58,1.1
Argentina,2003,453.07,159.91,Low,30.41,19.24,12.97,1698.39,0.21
Brazil,2009,917.85,456.61,High,38.08,21.9,33.96,2732.76,3.16
Italy,2004,473.19,94.77,Low,64.17,26.84,30.12,1680.49,2.24
South Africa,2020,282.29,345.27,Medium,29.83,27.82,19.44,402.39,1.37
Brazil,2021,150.41,405.99,Low,40.65,14.28,26.38,2505.42,2.65
Australia,2009,13.71,209.71,Medium,59.99,35.18,29.34,480.49,3.53
India,2011,536.84,479.36,High,76.26,36.16,32.09,1016.28,1.31
Indonesia,2009,116.09,432.83,High,24.52,11.4,15.61,1201.4,3.08
China,2012,397.81,182.58,Low,50.99,28.98,13.06,2441.13,1.37
Argentina,2010,593.38,53.39,High,24.91,32.42,13.06,342.26,4.93
UK,2021,282.93,183.5,Low,42.75,13.38,18.82,1390.33,3.69
Japan,2015,183.47,176.59,Low,30.52,45.25,14.63,1366.48,3.05
India,2007,776.97,450.48,Medium,58.97,26.73,26.07,1788.26,0.94
Turkey,2007,947.32,485.2,Low,65.47,10.18,23.11,1126.22,2.97
USA,2024,109.44,81.7,Medium,34.84,20.05,36.79,1773.77,4.02
Saudi Arabia,2007,164.03,262.08,Low,62.77,26.46,31.52,2959.09,3.71
Russia,2012,960.41,296.75,Medium,46.81,5.46,16.17,307.49,3.91
India,2001,47.41,91.81,High,37.01,6.44,11.37,2636.42,1.66
Brazil,2011,977.86,219.87,Low,51.4,7.5,31.27,995.03,1.71
Canada,2009,14.6,192.69,Medium,42.78,29.22,35.37,1450.58,2.74
Germany,2011,874.93,291.23,Low,33.8,20.12,31.03,2249.24,1.47
South Korea,2010,314.25,347.54,Medium,65.41,45.19,29.31,2739.11,0.65
Indonesia,2014,939.2,366.57,Medium,67.85,30.17,17.48,126.32,2.36
Japan,2015,323.78,111.54,Low,68.02,39.2,24.84,2020.36,0.11
UK,2016,657.76,415.83,Low,42.93,35.92,31.75,301.7,3.83
Turkey,2001,89.23,355.34,High,30.17,28.41,15.8,1624.47,3.77
South Korea,2017,249.91,450.08,High,70.42,38.51,24.3,2274.3,2.8
Indonesia,2011,775.94,252.2,High,39.76,29.51,13.51,591.65,3.76
Russia,2018,533.4,452.25,Low,64.88,22.35,25.92,2314.98,3.16
Australia,2022,928.69,439.6,High,69.05,24.61,27.21,997.66,3.52
UK,2017,434.46,247.28,Medium,66.09,42.73,26.06,1870.6,0.42
Mexico,2016,871.11,221.51,Low,43.39,30.35,24.08,2008.32,4.42
Argentina,2005,454.47,469.77,Medium,76.28,21.98,27.62,1982.04,3.26
Canada,2024,979.46,371.82,Medium,59.61,13.09,39.9,153.78,3.09
South Korea,2014,960.24,467.71,Medium,54.54,27.29,28.68,541.59,2.0
Germany,2002,335.85,408.64,Low,61.87,16.36,32.58,2582.99,0.24
Russia,2005,887.06,324.18,Low,22.68,48.0,15.76,2825.54,4.52
South Korea,2002,849.14,102.13,High,43.43,27.09,25.9,1734.64,4.93
Spain,2000,218.57,181.17,High,72.87,5.4,10.23,1831.22,4.06
Russia,2012,628.05,485.98,High,29.66,9.18,10.94,2289.59,4.58
China,2020,81.96,193.74,High,44.86,17.79,19.67,1277.71,0.69
Saudi Arabia,2013,838.34,91.96,Medium,44.31,9.15,24.0,1051.25,0.73
South Africa,2012,182.8,368.4,Low,41.36,45.23,27.27,2327.78,4.41
Japan,2003,80.11,380.3,High,53.74,43.45,36.64,182.03,0.38
UK,2006,406.22,178.46,Medium,79.77,48.69,33.15,2667.5,0.56
UK,2021,581.15,183.95,Low,35.35,36.79,19.0,1378.62,4.1
Canada,2009,856.37,261.0,Low,62.3,34.05,32.3,1562.26,2.83
Brazil,2006,974.5,59.81,Low,65.48,46.56,26.48,1939.41,2.02
France,2020,445.1,405.2,Medium,55.07,47.59,33.38,895.72,2.81
Germany,2014,69.84,192.69,High,25.85,44.49,22.33,1832.42,4.41
Argentina,2014,751.62,434.19,Low,54.34,43.77,12.76,2109.81,3.81
Spain,2003,569.52,411.18,Medium,77.21,35.23,28.55,442.0,3.49
Russia,2022,453.41,347.63,Low,40.52,5.07,26.71,1609.37,4.89
Indonesia,2022,316.18,196.19,Medium,58.38,24.33,38.61,1055.32,2.65
Indonesia,2005,507.37,282.34,High,77.56,33.6,14.86,1716.34,0.13
Mexico,2023,345.29,250.17,High,67.88,29.62,29.68,161.75,2.2
South Africa,2019,759.44,202.5,Low,61.3,41.95,24.22,2253.77,0.57
France,2004,548.45,431.66,High,78.27,41.85,21.37,588.37,0.67
South Africa,2019,878.08,267.58,High,30.23,31.94,33.84,2099.22,1.35
Canada,2011,548.11,424.73,Medium,66.36,5.99,34.32,2329.56,1.97
Australia,2000,245.88,97.35,Medium,44.41,21.62,31.44,2282.57,2.46
Brazil,2007,852.58,113.46,Low,41.63,15.3,12.51,2470.76,0.93
Argentina,2000,561.65,489.79,Medium,51.24,20.25,20.35,992.46,1.63
Mexico,2004,214.77,314.5,High,22.03,32.78,11.4,2904.63,1.46
Turkey,2021,627.27,279.4,Medium,38.75,7.99,20.31,169.07,1.89
France,2005,364.14,285.42,High,29.97,6.0,29.44,1495.48,0.63
Saudi Arabia,2020,845.96,146.87,Low,28.32,24.66,25.56,883.83,2.05
USA,2002,458.77,373.42,High,40.24,40.71,31.09,2245.65,2.82
Russia,2014,729.18,88.15,Medium,68.14,6.38,26.54,2435.15,0.58
Australia,2004,104.58,308.0,Medium,32.07,43.21,26.67,2484.94,2.65
Canada,2023,402.06,306.85,Medium,51.88,22.27,25.33,961.02,3.8
India,2013,983.41,461.38,Medium,64.92,10.32,20.93,895.01,0.14
Mexico,2017,810.38,286.78,Low,34.46,30.54,23.4,2063.11,0.33
Indonesia,2015,168.34,111.68,High,75.45,47.86,13.37,2791.73,2.39
China,2005,284.99,307.74,Medium,71.99,29.41,35.04,837.2,4.38
Mexico,2024,336.52,91.1,High,35.07,35.9,36.68,2740.74,4.99
Saudi Arabia,2023,653.86,141.71,Low,79.38,41.74,32.99,1815.24,0.56
Russia,2013,759.42,64.0,High,60.15,40.97,27.51,2240.02,0.19
Brazil,2023,752.03,280.98,Medium,37.17,8.29,27.08,1375.69,1.22
Turkey,2007,514.78,88.04,High,60.86,38.34,24.11,2439.89,2.39
Germany,2006,812.71,261.23,Medium,59.97,47.73,16.94,2914.43,2.9
UK,2007,442.71,469.83,Medium,56.37,36.53,21.51,594.67,4.87
Russia,2012,132.64,373.89,Low,62.7,42.64,39.7,1218.12,4.45
Indonesia,2005,568.8,84.84,Low,36.1,26.85,14.37,2601.12,2.85
USA,2017,952.78,150.89,High,78.74,19.36,26.28,612.35,1.87
Brazil,2001,795.06,353.15,High,71.47,35.43,36.0,1297.59,1.67
USA,2007,582.91,452.62,Medium,64.74,27.15,23.59,581.73,2.91
France,2010,650.34,64.81,Medium,21.58,45.29,28.17,1980.27,3.63
Turkey,2000,931.26,415.6,Medium,55.42,48.85,34.83,791.13,2.46
Mexico,2021,434.06,302.82,Medium,62.39,41.89,26.43,1204.33,1.59
France,2005,338.08,295.74,Low,71.25,49.67,31.94,1524.29,3.1
Australia,2015,977.47,481.02,Medium,76.77,20.68,20.42,961.67,2.83
Argentina,2019,864.81,386.44,Low,74.95,45.31,31.99,2071.71,2.19
Brazil,2011,329.81,432.55,High,44.36,19.85,11.23,422.62,3.77
Indonesia,2010,469.14,209.3,High,73.79,10.31,14.59,2651.42,1.48
Saudi Arabia,2009,420.93,299.46,Low,20.04,32.96,29.12,1495.89,2.48
South Africa,2002,157.6,326.93,Medium,41.09,25.47,23.47,1761.16,4.71
Canada,2012,958.24,194.71,High,26.83,46.48,34.85,1904.18,3.64
France,2002,410.27,306.61,Low,72.98,27.15,20.26,273.08,2.0
France,2014,876.58,156.49,High,75.68,46.74,33.02,2295.27,2.78
UK,2015,197.46,114.52,Medium,35.36,8.54,14.17,2843.23,2.09
USA,2012,552.39,218.29,Low,42.04,42.37,37.9,1607.73,0.65
UK,2016,33.72,382.68,High,79.03,39.16,22.55,1233.52,1.74
South Africa,2002,766.58,462.28,Medium,53.96,37.4,16.93,2375.91,4.32
Germany,2019,585.1,255.97,Low,49.82,20.98,33.67,2189.02,2.36
Indonesia,2010,629.33,339.27,Low,50.03,40.27,38.44,1987.83,2.96
Turkey,2020,61.2,96.37,Low,61.77,26.75,37.54,2899.52,0.99
Spain,2018,218.93,457.01,Low,77.27,37.18,17.14,1787.15,1.85
Mexico,2021,83.59,305.87,High,42.0,29.85,30.16,820.29,4.65
